Municipality,Population Density
Sint-Laureins,91.00367189015847
Zelzate,933.9264815166257
Arrondissement de Gand,590.2257420081016
De Pinte,600.7951889594506
Destelbergen,684.0442074285905
Evergem,470.1296264372031
Gavere,405.2616475852941
Gand,1662.323722138443
Lochristi,370.7134128988816
Melle,765.1242094661825
Merelbeke,666.4626919671327
Moerbeke (Gand),170.87865005602794
Nazareth,327.89680487295465
Oosterzele,311.9205355925775
Sint-Martens-Latem,580.6873034852309
Wachtebeke,224.35641668590438
Zulte,479.8371630464092
Deinze,340.3258098451427
Aalter,241.17957219202702
Lievegem,323.86927847601936
Arrondissement d’Audenarde,294.0396049464328
Audenarde,455.4025380977668
Renaix,762.8989167722775
Brakel,259.835655571714
Kluisbergen,211.8129948512923
Wortegem-Petegem,150.66467451083912
Horebeke,181.0372867454564
Lierde,251.41973677615218
Maarkedal,137.43438282818596
Zwalin,240.51918137519587
Kruisem,218.48258765295543
Arrondissement de Saint-Nicolas,526.6225330166582
Beveren (Saint-Nicolas),318.7419055009104
Kruibeke,499.4378676923024
Lokeren,610.8707117267996
Sint-Gillis-Waas,349.0757107732027
Saint-Nicolas (Saint-Nicolas),922.6245476328929
Stekene,407.4540521277871
Tamise,746.2828190438228
Province du Hainaut,352.5382965453187
Arrondissement d’Ath,190.39599977490954
Ath,229.16290670415376
Beloeil,225.8987052734855
Bernissart,270.68607450137176
Brugelette,130.44523569246178
Chièvres,146.03137051982628
Ellezelles,132.46692206732644
Flobecq,148.05855799726896
Frasnes-lez-Anvaing,104.66546718659198
Enghien,350.6559629253331
Silly,121.38573747916473
Lessines,256.7302376752835
Arrondissement de Charleroi,833.3682969726508
Chapelle-lez-Herlaimont,810.1886848466623
Charleroi,1964.7234295311239
Châtelet,1312.1693353741525
Courcelles,702.8331142429976
Farciennes,1091.0585553077308
Fleurus,385.23667110198164
Fontaine-l’Evêque,621.5465394577857
Gerpinnes,266.7201281531905
Montigny-le-Tilleul,663.7637940875004
Pont-à-Celles,309.63503261131916
Aiseau-Presles,479.0678177731797
Les Bons Villers,219.95732813870043
Arrondissement de Mons,440.0921552453127
Boussu,987.4458297000633
Dour,494.98490242516436
Frameries,840.673222338712
Hensies,258.5581889596865
Jurbise,178.47179771738644
Lens,90.7981411443359
Mons,647.9672787401287
Quaregnon,1695.6619174691627
Quiévrain,317.5417668429794
Saint-Ghislain,330.2534517797234
Colfontaine,1514.0080115620713
Honnelles,116.41777168396648
Quévy,124.43281426949886
Arrondissement de Soignies,292.2983668358289
Braine-le-Comte,258.05185471957475
Le Roeulx,200.77052021678057
Soignies,251.79081453519638
Ecaussinnes,320.1086493334101
Seneffe,179.152253042897
Manage,1201.6424371358448
Arrondissement de Thuin,116.78285434176902
Anderlues,713.6138976903145
Beaumont,76.20296417764331
Chimay,49.37764874826578
Erquelinnes,224.5424820660638
Froidchapelle,45.74587669788814
Lobbes,181.1136926920501
Merbes-le-Château,139.7289128075207
Momignies,61.68209742292546
Thuin,191.7088116578152
Ham-sur-Heure-Nalinnes,298.10303143626993
Sivry-Rance,65.21452397855678
Arrondissement de Tournai-Mouscron,312.6340991008352
Antoing,245.0933269284488
Celles (Tournai),83.9617784527255
Estaimpuis,326.40794813010734
Pecq,171.92269464957445
Péruwelz,281.16595765348023
Rumes,215.38418314766955
Tournai,322.1409858638898
Brunehaut,173.52715658122037
Leuze-en-Hainaut,185.9930750413704
Mont-de-l’Enclus,138.59280509665098
Mouscron,1439.555354305681
Comines-Warneton,293.6819614996049
Arrondissement de La Louvière,642.7610704453375
La Louvière,1250.914618141727
Binche,546.6442456462104
Estinnes,105.94447996241284
Morlanwelz,935.7337197793346
Province de Liège,287.00017356247037
Arrondissement de Huy,171.52118915017778
Amay,520.5531632255269
Burdinne,99.29162569890511
Clavier,58.32995171822213
Ferrières,86.46829677131936
Hamoir,139.86296313385319
Héron,139.9785258617944
Huy,445.559772377666
Marchin,181.39424412083144
Modave,104.23584582637397
Nandrin,159.26289819773254
Ouffet,68.98387032364344
Verlaine,173.27655097369495
Villers-Le-Bouillet,197.69644684461133
Wanze,311.8538419267401
Anthisnes,112.25525360080366
Engis,221.22436984303124
Tinlot,72.6402254993123
Arrondissement de Liège,784.48312278451
Ans,1215.3131599829796
Awans,342.3507622742099
Aywaille,155.56411794782358
Bassenge,233.03479234310217
Beyne-Heusay,1637.41739648575
Chaudfontaine,817.8318483459802
Comblain-au-Pont,239.26076040292858
Dalhem,205.1456215449869
Esneux,378.26010309103253
Fléron,1207.8700856275082
Herstal,1711.9709576707057
Juprelle,262.04052976222226
Liège,2874.2330376414893
Oupeye,705.0750133479628
Saint-Nicolas (Liège),3513.4311305666192
Seraing,1823.1277022664133
Soumagne,622.3653811729637
Sprimont,197.38422433151794
Visé,642.4443876412485
Grâce-Hollogne,663.1109366746322
Blegny,509.7636889402948
Flémalle,719.3236519983054
Neupré,312.6091792993056
