Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%),Population Density
199000,8630,HOUSE,HOUSE,TO_RENOVATE,3,157.0,0,0.0,1.0,370.0,2.0,0.0,0.0,veurne,Hainaut,121.7070149127322,24.340300293697805,3359644773.855654,72.2,5.4,
395000,1000,APARTMENT,APARTMENT,AS_NEW,1,106.0,0,1.0,0.0,0.0,2.0,0.0,1.0,saint-josse-ten-noode,Brussels Capital,1.2943533842238977,9.65606585114241,962645340.61,63.7,12.3,23324.26651353312
329000,1030,APARTMENT,GROUND_FLOOR,TO_BE_DONE_UP,2,173.0,0,1.0,1.0,0.0,2.0,0.0,0.0,schaerbeek,Brussels Capital,2.729999148382116,8.184390748808344,5851194049.33,63.7,12.3,16878.804438382722
215000,8000,HOUSE,HOUSE,GOOD,2,65.0,0,1.0,0.0,33.0,2.0,0.0,0.0,brugge,Other,90.61028614550884,23.99214769355588,1754096553.2486956,72.2,5.4,
350000,9620,HOUSE,HOUSE,GOOD,3,235.0,0,0.0,0.0,181.0,2.0,0.0,0.0,zottegem,East Flanders,39.43948800795363,48.80598210013554,2091569352.27,72.2,5.4,462.5804408279184
105000,7370,HOUSE,HOUSE,TO_RENOVATE,2,94.0,0,0.0,1.0,290.0,3.0,0.0,0.0,dour,Hainaut,64.20601846263476,46.6198276113923,898463077.86,72.2,5.4,494.9849024251644
740000,1170,HOUSE,HOUSE,TO_BE_DONE_UP,4,154.0,1,0.0,1.0,452.0,4.0,0.0,0.0,watermael-boitsfort,Brussels Capital,8.132305703533254,12.79832942275914,1784068584.64,63.7,12.3,1940.6747204462076
292900,2300,APARTMENT,APARTMENT,GOOD,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,turnhout,Antwerp,67.24593892582786,36.802713026240085,2846367622.73,76.2,3.4,787.5812001348678
230000,2660,APARTMENT,APARTMENT,GOOD,2,91.0,0,1.0,0.0,0.0,4.0,0.0,1.0,antwerpen,Antwerp,36.30556862031787,7.872924613289252,1745305266.5072873,76.2,3.4,
549500,8310,HOUSE,HOUSE,AS_NEW,3,155.0,0,1.0,0.0,238.0,2.0,0.0,1.0,brugge,Other,85.76810608200664,28.443413416605285,1754096553.2486956,72.2,5.4,
