Province,total_income
Limbourg,5930671444.98
Limbourg,931312943.37
Limbourg,1029723199.1499999
Limbourg,1108214166.58
Limbourg,490828226.49
Limbourg,2797825029.21
Limbourg,1350736914.19
Limbourg,1543075737.93
Limbourg,518190128.2299999
Limbourg,780194638.3
Limbourg,2173372117.86
Limbourg,850146140.96
Limbourg,1085094077.49
Limbourg,765557987.16
Limbourg,2268308875.7699995
Limbourg,1685852052.58
Limbourg,1082568461.88
Limbourg,888136218.3300002
Limbourg,829544184.85
Limbourg,1877535059.9599996
Limbourg,1319822025.39
Limbourg,1587539210.39
Limbourg,2209861611.28
Limbourg,865524744.0799999
Limbourg,2209210586.66
Limbourg,773491882.0999999
Limbourg,501241721.68999994
Limbourg,863540590.94
Limbourg,689725210.5
Limbourg,616311843.5899999
Limbourg,1760527554.7800002
Limbourg,1120071624.46
Limbourg,2111391165.1600003
Limbourg,537553255.0699999
Limbourg,2259592333.4300003
Luxembourg,2326309741.49
Luxembourg,514642173.55999994
Luxembourg,1028533769.9399999
Luxembourg,123734553.85
Luxembourg,660768988.5
Luxembourg,1021219109.8199999
Luxembourg,228071706.41000003
Luxembourg,157866791.34
Luxembourg,318890787.8
Luxembourg,464543953.6
Luxembourg,378258442.64
Luxembourg,313881545.6
Luxembourg,150858268.24
Luxembourg,692734970.54
Luxembourg,210059584.13
Luxembourg,333440366.42
Luxembourg,253758707.95999998
Luxembourg,1099690706.34
Luxembourg,351642941.6
Luxembourg,161640192.95
Luxembourg,183773107.14
Luxembourg,233545851.91
Luxembourg,527564034.83
Luxembourg,312962093.44
Luxembourg,79314674.09
Luxembourg,103566929.46
Luxembourg,376301735.53
Luxembourg,339988442.25
Luxembourg,503529408.78
Luxembourg,326098651.28000003
Luxembourg,338682349.61
Luxembourg,159788817.98000002
Luxembourg,196773856.8
Luxembourg,750120746.04
Luxembourg,323181056.85
Luxembourg,457942059.75999993
Luxembourg,343069866.71000004
Luxembourg,175694730.07
Luxembourg,307954933.96000004
Luxembourg,268109293.36
Luxembourg,300656113.84999996
Luxembourg,710024776.27
Luxembourg,628482134.23
Luxembourg,129728690.36
Namur,455221821.0899999
Namur,540153085.55
Namur,193190097.59
Namur,1073816180.4199998
Namur,770489849.02
Namur,269794779.40999997
Namur,492874216.23
Namur,332080028.62
Namur,307536758.06
Namur,205666772.20999998
Namur,755912358.13
Namur,380258816.94
Namur,636986270.57
Namur,338907786.22
Namur,143248855.13
Namur,1727790716.0299997
Namur,520334698.68999994
Namur,1197916332.23
Namur,566638344.15
Namur,671541665.53
Namur,541332340.4100001
Namur,891455825.44
Namur,7230687098.650001
Namur,340984744.02
Namur,888528302.6999999
Namur,575777008.1199999
Namur,1637836646.75
Namur,601013310.48
Namur,1227258840.8999999
Namur,724755500.24
Namur,1901851221.0300002
Namur,310191026.06
Namur,766512887.82
Namur,172365217.79999998
Namur,683553478.8
Namur,560523610.31
Namur,1222561295.3
Namur,318729110.85999995
