Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%)
389000,9090,HOUSE,HOUSE,GOOD,3,151.0,0,1.0,1.0,142.0,3.0,0.0,0.0,Melle,East Flanders,42.33719687784548,49.42704980978451,947004205.26,72.2,5.4
299000,1200,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,100.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Woluwe-Saint-Lambert,Brussels Capital,5.611635398494777,7.011183413030368,3631679518.14,63.7,12.3
299000,8510,HOUSE,BUNGALOW,GOOD,3,143.0,0,1.0,0.0,530.0,4.0,0.0,0.0,Kortrijk,Other,74.59821239490768,57.498062211716864,1754096553.2486956,72.2,5.4
249000,2180,APARTMENT,APARTMENT,GOOD,2,103.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,48.48526567297344,10.674104171292354,1745305266.5072873,76.2,3.4
338500,8211,HOUSE,HOUSE,GOOD,3,159.0,0,1.0,0.0,347.0,3.0,0.0,0.0,Zedelgem,Other,92.92092572390644,19.235134759247288,1687312975.0400002,72.2,5.4
245000,8310,APARTMENT,GROUND_FLOOR,AS_NEW,2,90.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Brugge,Other,85.76810608200664,28.443413416605285,1754096553.2486956,72.2,5.4
425000,1000,APARTMENT,GROUND_FLOOR,GOOD,2,83.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital,1.2943533842238977,9.65606585114241,962645340.61,63.7,12.3
510000,1150,APARTMENT,DUPLEX,AS_NEW,2,110.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Woluwe-Saint-Pierre,Brussels Capital,6.763860980854028,8.336993173732244,3119975982.09,63.7,12.3
129000,9600,HOUSE,HOUSE,TO_RENOVATE,4,142.0,0,0.0,1.0,90.0,2.0,0.0,0.0,Renaix,East Flanders,53.47722497364936,63.85448746995458,1493822585.5,72.2,5.4
290000,3001,APARTMENT,APARTMENT,GOOD,1,62.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Leuven,Flemish Brabant,23.837796855713574,15.306740877026208,1736432639.621848,72.2,5.4
289000,9100,HOUSE,HOUSE,AS_NEW,4,155.0,0,1.0,1.0,106.0,2.0,0.0,0.0,Sint-Niklaas,East Flanders,37.42357952684203,21.38098854345812,5115531908.049999,72.2,5.4
298000,2018,APARTMENT,APARTMENT,GOOD,2,83.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4
349000,2320,HOUSE,HOUSE,GOOD,3,135.0,0,1.0,0.0,540.0,3.0,0.0,0.0,Hoogstraten,Antwerp,66.87302971727395,30.49360813670022,1454751018.31,76.2,3.4
465000,3000,APARTMENT,APARTMENT,GOOD,3,165.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Leuven,Flemish Brabant,23.837796855713574,15.306740877026208,1736432639.621848,72.2,5.4
550000,9500,HOUSE,MIXED_USE_BUILDING,AS_NEW,2,235.0,0,1.0,1.0,290.0,2.0,0.0,0.0,Geraardsbergen,East Flanders,32.80536168229344,42.88144725246159,1990062227.7286022,72.2,5.4
255000,8301,APARTMENT,APARTMENT,GOOD,1,62.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,Other,91.97469910069988,29.577995499826606,3203281012.67,72.2,5.4
419000,1300,HOUSE,APARTMENT_BLOCK,AS_NEW,4,145.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Wavre,Walloon Brabant,22.94543911237792,23.436255330961163,2589323152.6,72.2,5.4
750000,1040,APARTMENT,APARTMENT,AS_NEW,3,155.0,1,1.0,0.0,0.0,3.0,0.0,1.0,Bruxelles,Brussels Capital,3.014927999693443,8.28401069710616,8944820813.830002,63.7,12.3
230000,6630,APARTMENT,APARTMENT,GOOD,4,198.0,0,0.0,0.0,0.0,3.0,0.0,1.0,Martelange,Hainaut,151.15971161880876,93.98460320465855,123734553.85,68.1,6.8
425000,2018,APARTMENT,APARTMENT,GOOD,2,110.0,1,1.0,0.0,0.0,3.0,0.0,1.0,Antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4
164000,8434,HOUSE,HOUSE,GOOD,2,71.0,0,1.0,0.0,189.0,3.0,0.0,0.0,Middelkerke,Other,115.32745557104316,8.908034400228585,1382187584.23,72.2,5.4
469000,2500,HOUSE,MANSION,TO_BE_DONE_UP,4,270.0,0,0.0,1.0,170.0,2.0,0.0,0.0,Lier,Antwerp,34.5632405233937,9.544661264547504,1745305266.5072873,76.2,3.4
