TX_MUNTY_DESCR_FR,total_income
Ganshoren,1321548647.24
Gavere,1043111725.7299998
Gedinne,269794779.40999997
Geel,2970903936.18
Geer,261698625.38
Geetbets,424172728.9
Gembloux,1901851221.0300002
Genappe,1204767758.99
Genk,4044931768.11
Gerpinnes,962743515.19
Gesves,541332340.4100001
Gingelom,618327814.46
Gistel,831448649.9499999
Glabbeek,424682219.87
Gooik,731864491.6800001
Gouvy,313881545.6
Grammont,2346891061.13
Grez-Doiceau,1130819790.56
Grimbergen,2933729128.35
Grobbendonk,858472051.63
Grâce-Hollogne,1257145649.0700002
Haacht,1258237086.64
Haaltert,1424590699.98
Habay,628482134.23
Hal,2872504525.27
Halen,692796043.6500001
Ham,780194638.3
Ham-sur-Heure-Nalinnes,1078468643.6200001
Hamme,1691410393.5
Hamoir,239936228.81000003
Hamois,492874216.23
Hamont-Achel,888136218.3300002
Hannut,1236724143.12
Harelbeke,1963403972.65
Hasselt,5930671444.98
Hastière,338907786.22
Havelange,332080028.62
Hechtel-Eksel,829544184.85
Heers,501241721.68999994
Heist-op-den-Berg,3166845213.77
Hemiksem,815542418.9599999
Hensies,389441422.9
Herbeumont,103566929.46
Herck-la-Ville,931312943.37
Herent,1970589608.03
Herentals,2048360679.18
Herenthout,648698505.46
Herne,516807541.42999995
Herselt,1049728457.08
Herstal,2117667109.4400005
Herstappe,5675366.4
Herve,1193483913.52
Herzele,1390051109.48
Heusden-Zolder,2173372117.86
Heuvelland,489588370.87
Hoegaarden,553478509.48
Hoeilaart,949468762.6600001
Hoeselt,689725210.5
Holsbeek,864804596.1800001
Honnelles,338945843.18
Hooglede,684758283.2700001
Hoogstraten,1454751018.31
Horebeke,167039262.82
Hotton,333440366.42
Houffalize,318890787.8
Houthalen-Helchteren,1877535059.9599996
Houthulst,631198436.4300001
Houyet,307536758.06
Hove,780309332.0
Huldenberg,834974453.3099998
Hulshout,748971653.23
Huy,1317370349.15
Hélécine,257365918.49
Héron,402036482.87
Ichtegem,933705424.6
Incourt,414989678.91999996
Ingelmunster,751611144.3
Ittre,528204060.62
Ixelles,5446918872.59
Izegem,1905999795.4299998
Jabbeke,1122361304.02
Jalhay,648822703.07
Jemeppe-sur-Sambre,1227258840.8999999
Jette,2772675970.9700003
Jodoigne,1028765899.58
Juprelle,684039331.1800001
Jurbise,775372442.1600001
Kalmthout,1495366962.4199998
Kampenhout,1031084332.45
Kapelle-op-den-Bos,761694019.88
Kapellen,2332659748.26
Kaprijke,492661517.89
Kasterlee,1440108656.6
Keerbergen,1270920346.9
Kinrooi,765557987.16
Kluisbergen,486275345.01
Knokke-Heist,3203281012.67
Koekelare,571278225.39
Koekelberg,985119294.4499999
Koksijde,1944687733.46
Kontich,1788382449.7400002
Kortemark,808579328.83
Kortenaken,575979972.02
Kortenberg,1693518505.6299999
Kortessem,616311843.5899999
Kraainem,1071181251.9900001
Kruibeke,1235396958.51
Kruisem,1219000868.1100001
Kuurne,913145503.94
La Bruyère,724755500.24
La Calamine,658346609.59
La Hulpe,613274518.53
La Louvière,4269236716.59
La Panne,779706689.0600001
La Roche-en-Ardenne,253758707.95999998
Laakdal,1175651115.8
Laarne,980635290.3800001
Lanaken,1760527554.7800002
Landen,1176369270.61
Langemark-Poelkapelle,522486482.96999997
Lasne,1308892988.19
Le Roeulx,595036432.72
Lebbeke,1408074567.3700001
Lede,1454238137.77
Ledegem,625076583.41
Lendelede,398028158.71
Lennik,761055845.6099999
Lens,298634036.48
Les Bons Villers,700646742.61
Lessines,1134370169.6799998
Leuze-en-Hainaut,874197487.8700001
Libin,339988442.25
Libramont-Chevigny,750120746.04
Lichtervelde,622241488.28
Liedekerke,930854201.56
Lierde,494281958.03
Lierneux,228598834.96999997
Lierre,2697864226.9900002
Lievegem,1994728369.9299998
Lille,1193922262.3400002
Limbourg,354794950.11
Lincent,232426485.60000002
Linkebeek,371254990.33
Lint,715687051.8299999
Linter,539784923.5
Liège,10411526122.86
Lo-Reninge,198576616.39
Lobbes,396256172.81
Lochristi,1812740423.81
Lokeren,2885795091.0600004
Lommel,2268308875.7699995
Londerzeel,1486716091.47
Lontzen,376209345.72999996
Looz,773491882.0999999
Louvain,7665795244.7
Lubbeek,1279931546.3700001
Lummen,1108214166.58
Léau,619246081.65
Léglise,376301735.53
Maarkedal,495555173.58000004
Maaseik,1685852052.58
Maasmechelen,2259592333.4300003
Machelen,930434643.6500001
Maldegem,1671968712.8599997
Malines,6060279861.43
Malle,1168746852.01
Malmedy,810907485.73
Manage,1282711060.94
Manhay,233545851.91
Marche-en-Famenne,1099690706.34
Marchin,380108093.80999994
Martelange,123734553.85
Meerhout,721420320.17
Meise,1670208069.2400002
Meix-devant-Virton,175694730.07
Melle,947004205.2600001
Menin,2037001957.1599998
Merbes-le-Château,247700085.89000002
Merchtem,1344818231.44
Merelbeke,2064611494.2099998
Merksplas,595877024.67
Messancy,660768988.5
Messines,54079493.43
Mettet,891455825.44
Meulebeke,724280058.6700001
Middelkerke,1382187584.23
Modave,297763118.71000004
Moerbeke,489780177.54999995
Mol,2658902059.3100004
Molenbeek-Saint-Jean,3712648187.1800003
Momignies,267957822.98000002
Mons,5508958412.54
Mont-Saint-Guibert,637402876.3000001
Mont-de-l’Enclus,249515298.95
Montaigu-Zichem,1695998678.11
Montigny-le-Tilleul,746578073.9300001
Moorslede,742656794.92
Morlanwelz,1108249828.93
Mortsel,1940081113.26
Mouscron,3167438637.1299996
Musson,307954933.96000004
Namur,7230687098.650001
Nandrin,476068091.22
Nassogne,351642941.6
Nazareth,961014555.39
Neufchâteau,503529408.78
Neupré,846066660.1999998
Niel,720335901.36
Nieuport,826874529.9599999
Nieuwerkerken,490828226.49
Nijlen,1690138053.8199997
Ninove,2721758710.48
Nivelles,2138687117.75
Ohey,340984744.02
Olen,896220572.95
Olne,322080316.9
Onhaye,205666772.20999998
Oosterzele,1117714304.28
Oostkamp,1768817045.59
Oostrozebeke,524206008.82000005
Opwijk,1125169159.08
Oreye,277555526.70000005
Orp-Jauche,642771932.6100001
Ostende,4692951828.129999
Ottignies-Louvain-la-Neuve,2167422807.73
Oud-Heverlee,1082950023.0700002
Oud-Turnhout,1064080885.43
Oudenburg,671627675.6700001
Oudsbergen,1587539210.39
Ouffet,190835314.58
Oupeye,1577886570.9499998
Overijse,2202743083.29
Paliseul,326098651.28000003
Pecq,371640142.88
Peer,1082568461.88
Pelt,2209861611.28
Pepingen,364584468.56
Pepinster,558965005.91
Perwez,699746033.4200001
Philippeville,560523610.31
Pittem,442162325.4700001
Plombières,636429704.29
Pont-à-Celles,1225810703.98
Poperinge,1234695194.03
Profondeville,888528302.6999999
Putte,1395666596.33
Puurs-Sint-Amands,2063324908.52
Péruwelz,994292890.7299999
Quaregnon,941380736.89
Quiévrain,360258046.53999996
Quévy,547131662.5500001
Raeren,758343546.19
Ramillies,467135054.18
Ranst,1534105991.17
Ravels,955992505.93
Rebecq,723968776.51
Remicourt,446095595.66999996
Renaix,1493822585.5
Rendeux,161640192.95
Retie,855117325.4300001
Rhode-Saint-Genèse,1612143799.02
Riemst,1120071624.46
Rijkevorsel,825169427.6200001
Rixensart,1862024304.7999997
Rochefort,755912358.13
Roosdaal,924406356.1800001
Rotselaar,1456874830.5600002
Roulers,4275451764.25
Rouvroy,129728690.36
Ruiselede,373784587.14
Rumes,314027726.48
Rumst,1180545120.21
Saint-Georges-sur-Meuse,459313540.68
Saint-Ghislain,1465312864.37
Saint-Gilles,2471113985.26
Saint-Hubert,338682349.61
Saint-Josse-ten-Noode,962645340.61
Saint-Léger,268109293.36
Saint-Nicolas,1190133066.44
Saint-Trond,2797825029.21
Saint-Vith,674338663.95
Sainte-Ode,150858268.24
Sambreville,1637836646.75
Schaerbeek,5851194049.33
Schelle,642571973.3899999
Schilde,1836136379.2200003
Schoten,2643709969.13
Seneffe,820266059.76
Seraing,3230529088.27
Silly,633494636.42
Sint-Gillis-Waas,1477602399.73
Sint-Katelijne-Waver,1640498371.63
Sint-Laureins,489370048.96
Sint-Lievens-Houtem,808401124.1600001
Sint-Martens-Latem,818354627.9999999
Sint-Niklaas,5115531908.049999
Sint-Pieters-Leeuw,2268002112.39
Sivry-Rance,288417424.70000005
Soignies,1790555060.12
Sombreffe,575777008.1199999
Somme-Leuze,380258816.94
Soumagne,1124996934.2199998
Spa,626045301.3199999
Sprimont,1126916808.6
Stabroek,1444298324.21
Staden,722436931.8599999
Stavelot,454307564.9000001
Steenokkerzeel,966837164.1299999
Stekene,1395033497.1399999
Stoumont,218616816.21999997
Tamise,2165736088.41
Tellin,159788817.98000002
Tenneville,183773107.14
Termonde,3295605739.0599995
Ternat,1232779750.51
Tervuren,1951271741.4700003
Tessenderlo,1350736914.19
Theux,857290899.94
Thimister-Clermont,396694682.59
Thuin,1005518615.6400001
Tielt,1389597243.01
Tielt-Winge,862276585.6999999
Tinlot,201684146.01000002
Tintigny,300656113.84999996
Tirlemont,2489783569.15
Tongres,2111391165.1600003
Torhout,1398526048.66
Tournai,4269738107.12
Tremelo,1225519174.11
Trois-Ponts,155146156.46
Trooz,521884712.92999995
Tubize,1660779350.6
Turnhout,2846367622.73
Uccle,6243949366.289999
Vaux-sur-Sûre,378258442.64
Verlaine,328882796.5
Verviers,2794350643.88
Vielsalm,464543953.6
Villers-Le-Bouillet,480424538.47
Villers-la-Ville,830953022.3699999
Vilvorde,2824125040.19
Viroinval,318729110.85999995
Virton,710024776.27
Visé,1130262484.59
Vleteren,213634718.78
Vorselaar,567088514.1400001
Vosselaar,882406289.6099999
Vresse-sur-Semois,143248855.13
Waasmunster,917546638.45
Wachtebeke,563639964.52
Waimes,465969422.49999994
Walcourt,1222561295.3
Walhain,588752688.1600001
Wanze,964462471.0799999
Waregem,2727629954.1899996
Waremme,1055454376.46
Wasseiges,212132237.03999996
Waterloo,2529110710.1699996
Watermael-Boitsfort,1784068584.64
Wavre,2589323152.6
Welkenraedt,658098030.37
Wellen,537553255.0699999
Wellin,196773856.8
Wemmel,1254601780.3
Wervik,1165679022.1599998
